Year,UNIT_MEASURE,Пол,Старосна доб,Oпштина,Value
2013,Број,Ж,40-44,Соколац,299
2013,Број,Оба пола,40-44,Србац,1082
2013,Број,M,40-44,Србац,556
2013,Број,Ж,40-44,Србац,526
2013,Број,Оба пола,40-44,Сребреница,1102
2013,Број,M,40-44,Сребреница,550
2013,Број,Ж,40-44,Сребреница,552
2013,Број,Оба пола,40-44,Сребреник,2962
2013,Број,M,40-44,Сребреник,1469
2013,Број,Ж,40-44,Сребреник,1493
2013,Број,Оба пола,40-44,Сарајево-Стари Град,2104
2013,Број,M,40-44,Сарајево-Стари Град,1048
2013,Број,Ж,40-44,Сарајево-Стари Град,1056
2013,Број,Оба пола,40-44,Столац,990
2013,Број,M,40-44,Столац,523
2013,Број,Ж,40-44,Столац,467
2013,Број,Оба пола,40-44,Шамац,1162
2013,Број,M,40-44,Шамац,601
2013,Број,Ж,40-44,Шамац,561
2013,Број,Оба пола,40-44,Шековићи,403
2013,Број,M,40-44,Шековићи,228
2013,Број,Ж,40-44,Шековићи,175
2013,Број,Оба пола,40-44,Шипово,523
2013,Број,M,40-44,Шипово,296
2013,Број,Ж,40-44,Шипово,227
2013,Број,Оба пола,40-44,Широки Бријег,1889
2013,Број,M,40-44,Широки Бријег,950
2013,Број,Ж,40-44,Широки Бријег,939
2013,Број,Оба пола,40-44,Теочак,562
2013,Број,M,40-44,Теочак,302
2013,Број,Ж,40-44,Теочак,260
2013,Број,Оба пола,40-44,Теслић,2525
2013,Број,M,40-44,Теслић,1273
2013,Број,Ж,40-44,Теслић,1252
2013,Број,Оба пола,40-44,Тешањ,3220
2013,Број,M,40-44,Тешањ,1608
2013,Број,Ж,40-44,Тешањ,1612
2013,Број,Оба пола,40-44,Томиславград,2448
2013,Број,M,40-44,Томиславград,1268
2013,Број,Ж,40-44,Томиславград,1180
2013,Број,Оба пола,40-44,Травник,3906
2013,Број,M,40-44,Травник,1982
2013,Број,Ж,40-44,Травник,1924
2013,Број,Оба пола,40-44,Требиње,1748
2013,Број,M,40-44,Требиње,897
2013,Број,Ж,40-44,Требиње,851
2013,Број,Оба пола,40-44,Трново-ФБиХ,78
2013,Број,M,40-44,Трново-ФБиХ,43
2013,Број,Ж,40-44,Трново-ФБиХ,35
2013,Број,Оба пола,40-44,Трново-РС,101
2013,Број,M,40-44,Трново-РС,53
2013,Број,Ж,40-44,Трново-РС,48
2013,Број,Оба пола,40-44,Тузла,6798
2013,Број,M,40-44,Тузла,3296
2013,Број,Ж,40-44,Тузла,3502
2013,Број,Оба пола,40-44,Угљевик,1044
2013,Број,M,40-44,Угљевик,530
2013,Број,Ж,40-44,Угљевик,514
2013,Број,Оба пола,40-44,Усора,526
2013,Број,M,40-44,Усора,269
2013,Број,Ж,40-44,Усора,257
2013,Број,Оба пола,40-44,Вареш,580
2013,Број,M,40-44,Вареш,291
2013,Број,Ж,40-44,Вареш,289
2013,Број,Оба пола,40-44,Велика Кладуша,2617
2013,Број,M,40-44,Велика Кладуша,1304
2013,Број,Ж,40-44,Велика Кладуша,1313
2013,Број,Оба пола,40-44,Високо,2759
2013,Број,M,40-44,Високо,1386
2013,Број,Ж,40-44,Високо,1373
2013,Број,Оба пола,40-44,Вишеград,627
2013,Број,M,40-44,Вишеград,316
2013,Број,Ж,40-44,Вишеград,311
2013,Број,Оба пола,40-44,Витез,1727
2013,Број,M,40-44,Витез,863
2013,Број,Ж,40-44,Витез,864
2013,Број,Оба пола,40-44,Власеница,797
2013,Број,M,40-44,Власеница,428
2013,Број,Ж,40-44,Власеница,369
2013,Број,Оба пола,40-44,Сарајево-Вогошћа,1761
2013,Број,M,40-44,Сарајево-Вогошћа,831
2013,Број,Ж,40-44,Сарајево-Вогошћа,930
2013,Број,Оба пола,40-44,Вукосавље,329
2013,Број,M,40-44,Вукосавље,179
2013,Број,Ж,40-44,Вукосавље,150
2013,Број,Оба пола,40-44,Завидовићи,2569
2013,Број,M,40-44,Завидовићи,1240
2013,Број,Ж,40-44,Завидовићи,1329
