Year,UNIT_MEASURE,SEX,AGE,Value
2030,NUMBER,_T,107,2
2030,NUMBER,_T,108,1
2030,NUMBER,_T,109,0
2030,NUMBER,_T,110,0
2030,NUMBER,_T,111,0
2030,NUMBER,_T,112,0
2030,NUMBER,_T,113,0
2030,NUMBER,_T,114,0
2030,NUMBER,_T,115,0
2030,NUMBER,_T,116,0
2030,NUMBER,_T,117,0
2030,NUMBER,_T,118,0
2030,NUMBER,_T,119,0
2030,NUMBER,_T,120+,0
2035,NUMBER,_T,_T,1882044
2035,NUMBER,_T,0,13117
2035,NUMBER,_T,1,13286
2035,NUMBER,_T,2,13506
2035,NUMBER,_T,3,13775
2035,NUMBER,_T,4,14091
2035,NUMBER,_T,5,14447
2035,NUMBER,_T,6,14788
2035,NUMBER,_T,7,15143
2035,NUMBER,_T,8,15506
2035,NUMBER,_T,9,15869
2035,NUMBER,_T,10,16232
2035,NUMBER,_T,11,16592
2035,NUMBER,_T,12,16940
2035,NUMBER,_T,13,17265
2035,NUMBER,_T,14,17555
2035,NUMBER,_T,15,17887
2035,NUMBER,_T,16,16254
2035,NUMBER,_T,17,17290
2035,NUMBER,_T,18,17671
2035,NUMBER,_T,19,17948
2035,NUMBER,_T,20,17286
2035,NUMBER,_T,21,17296
2035,NUMBER,_T,22,18309
2035,NUMBER,_T,23,18815
2035,NUMBER,_T,24,18229
2035,NUMBER,_T,25,18558
2035,NUMBER,_T,26,18457
2035,NUMBER,_T,27,18012
2035,NUMBER,_T,28,16968
2035,NUMBER,_T,29,16869
2035,NUMBER,_T,30,16837
2035,NUMBER,_T,31,16571
2035,NUMBER,_T,32,17079
2035,NUMBER,_T,33,17002
2035,NUMBER,_T,34,17676
2035,NUMBER,_T,35,18172
2035,NUMBER,_T,36,19291
2035,NUMBER,_T,37,21362
2035,NUMBER,_T,38,25148
2035,NUMBER,_T,39,25382
2035,NUMBER,_T,40,25415
2035,NUMBER,_T,41,20701
2035,NUMBER,_T,42,19758
2035,NUMBER,_T,43,23576
2035,NUMBER,_T,44,25730
2035,NUMBER,_T,45,25746
2035,NUMBER,_T,46,25855
2035,NUMBER,_T,47,27075
2035,NUMBER,_T,48,26913
2035,NUMBER,_T,49,27162
2035,NUMBER,_T,50,27415
2035,NUMBER,_T,51,28645
2035,NUMBER,_T,52,27727
2035,NUMBER,_T,53,27868
2035,NUMBER,_T,54,28498
2035,NUMBER,_T,55,28043
2035,NUMBER,_T,56,27864
2035,NUMBER,_T,57,28081
2035,NUMBER,_T,58,28144
2035,NUMBER,_T,59,29030
2035,NUMBER,_T,60,28274
2035,NUMBER,_T,61,28095
2035,NUMBER,_T,62,27827
2035,NUMBER,_T,63,28831
2035,NUMBER,_T,64,28165
2035,NUMBER,_T,65,26885
2035,NUMBER,_T,66,28534
2035,NUMBER,_T,67,28499
2035,NUMBER,_T,68,28977
2035,NUMBER,_T,69,29250
2035,NUMBER,_T,70,29113
2035,NUMBER,_T,71,28379
2035,NUMBER,_T,72,28042
2035,NUMBER,_T,73,28175
2035,NUMBER,_T,74,26987
2035,NUMBER,_T,75,25762
2035,NUMBER,_T,76,24780
2035,NUMBER,_T,77,22478
2035,NUMBER,_T,78,20368
2035,NUMBER,_T,79,19601
2035,NUMBER,_T,80,18564
2035,NUMBER,_T,81,16584
2035,NUMBER,_T,82,15361
2035,NUMBER,_T,83,13021
2035,NUMBER,_T,84,10873
2035,NUMBER,_T,85,9895
2035,NUMBER,_T,86,8564
2035,NUMBER,_T,87,6839
2035,NUMBER,_T,88,6369
2035,NUMBER,_T,89,4305
