Year,Quarter,UNIT_MEASURE,SEX,AGE,Value
2022,Q2,%,M,20 - 64,13
2022,Q2,%,M,25 - 34,12
2022,Q2,%,M,15 - 74,13
2022,Q2,%,F,15 - 74,20
2022,Q2,%,F,15 - 24,41
2022,Q2,%,F,25 - 49,20
2022,Q2,%,F,50 - 64,13
2022,Q2,%,F,15 - 64,20
2022,Q2,%,F,20 - 64,20
2022,Q2,%,F,25 - 34,27
2022,Q2,%,F,15 - 74,20
2022,Q3,%,_T,15 - 74,15
2022,Q3,%,_T,15 - 24,36
2022,Q3,%,_T,25 - 49,14
2022,Q3,%,_T,50 - 64,11
2022,Q3,%,_T,15 - 64,15
2022,Q3,%,_T,20 - 64,15
2022,Q3,%,_T,25 - 34,17
2022,Q3,%,_T,15 - 74,15
2022,Q3,%,M,15 - 74,12
2022,Q3,%,M,15 - 24,32
2022,Q3,%,M,25 - 49,11
2022,Q3,%,M,50 - 64,9
2022,Q3,%,M,15 - 64,12
2022,Q3,%,M,20 - 64,12
2022,Q3,%,M,25 - 34,13
2022,Q3,%,M,15 - 74,12
2022,Q3,%,F,15 - 74,19
2022,Q3,%,F,15 - 24,44
2022,Q3,%,F,25 - 49,18
2022,Q3,%,F,50 - 64,14
2022,Q3,%,F,15 - 64,19
2022,Q3,%,F,20 - 64,19
2022,Q3,%,F,25 - 34,23
2022,Q3,%,F,15 - 74,19
2022,Q4,%,_T,15 - 74,14
2022,Q4,%,_T,15 - 24,18
2022,Q4,%,_T,25 - 49,66
2022,Q4,%,_T,50 - 64,43
2022,Q4,%,_T,15 - 64,14
2022,Q4,%,_T,20 - 64,14
2022,Q4,%,_T,25 - 34,19
2022,Q4,%,_T,15 - 74,14
2022,Q4,%,M,15 - 74,12
2022,Q4,%,M,15 - 24,28
2022,Q4,%,M,25 - 49,11
2022,Q4,%,M,50 - 64,9
2022,Q4,%,M,15 - 64,12
2022,Q4,%,M,20 - 64,11
2022,Q4,%,M,25 - 34,16
2022,Q4,%,M,15 - 74,12
2022,Q4,%,F,15 - 74,18
2022,Q4,%,F,15 - 24,41
2022,Q4,%,F,25 - 49,18
2022,Q4,%,F,50 - 64,14
2022,Q4,%,F,15 - 64,19
2022,Q4,%,F,20 - 64,19
2022,Q4,%,F,25 - 34,22
2022,Q4,%,F,15 - 74,18
2023,Q1,%,_T,15 - 74,13
2023,Q1,%,_T,15 - 24,30
2023,Q1,%,_T,25 - 49,13
2023,Q1,%,_T,50 - 64,11
2023,Q1,%,_T,15 - 64,13
2023,Q1,%,_T,20 - 64,13
2023,Q1,%,_T,25 - 34,16
2023,Q1,%,_T,15 - 74,13
2023,Q1,%,M,15 - 74,11
2023,Q1,%,M,15 - 24,26
2023,Q1,%,M,25 - 49,10
2023,Q1,%,M,50 - 64,9
2023,Q1,%,M,15 - 64,11
2023,Q1,%,M,20 - 64,11
2023,Q1,%,M,25 - 34,14
2023,Q1,%,M,15 - 74,11
2023,Q1,%,F,15 - 74,17
2023,Q1,%,F,15 - 24,37
2023,Q1,%,F,25 - 49,17
2023,Q1,%,F,50 - 64,14
2023,Q1,%,F,15 - 64,17
2023,Q1,%,F,20 - 64,17
2023,Q1,%,F,25 - 34,20
2023,Q1,%,F,15 - 74,17
